Regio's;Onderwerpen;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Onderwijs;Onderwijs;Onderwijs;Onderwijs;Onderwijs;Onderwijs;Onderwijs;Onderwijs;Onderwijs;Onderwijs;Onderwijs;Onderwijs;Arbeid;Arbeid;Arbeid;Arbeid;Inkomen voorgaand jaar;Inkomen voorgaand jaar;Inkomen voorgaand jaar;Sociale zekerheid;Sociale zekerheid;Sociale zekerheid;Verkeer en vervoer;Verkeer en vervoer;Milieu en bodemgebruik;Milieu en bodemgebruik;Milieu en bodemgebruik;Milieu en bodemgebruik
;Onderwerpen;Bevolkingssamenstelling op 1 januari;Bevolkingssamenstelling op 1 januari;Bevolkingssamenstelling op 1 januari;Bevolkingssamenstelling op 1 januari;Bevolkingssamenstelling op 1 januari;Bevolkingssamenstelling op 1 januari;Bevolkingssamenstelling op 1 januari;Bevolkingssamenstelling op 1 januari;Bevolkingssamenstelling op 1 januari;Bevolkingssamenstelling op 1 januari;Bevolkingssamenstelling op 1 januari;Bevolkingssamenstelling op 1 januari;Bevolkingssamenstelling op 1 januari;Bevolkingssamenstelling op 1 januari;Bevolkingssamenstelling op 1 januari;Bevolkingssamenstelling op 1 januari;Bevolkingssamenstelling op 1 januari;Bevolkingssamenstelling op 1 januari;Bevolkingssamenstelling op 1 januari;Bevolkingssamenstelling op 1 januari;Bevolkingssamenstelling op 1 januari;Bevolkingsontwikkeling;Bevolkingsontwikkeling;Naar schoolgemeente;Naar schoolgemeente;Naar schoolgemeente;Naar woongemeente;Naar woongemeente;Naar woongemeente;Naar woongemeente;Naar woongemeente;Naar woongemeente;Naar woongemeente;Naar woongemeente;Naar woongemeente;Banen van werknemers, relatief;Banen van werknemers, relatief;Banen van werknemers, relatief;Banen van werknemers, relatief;Personen met 52 weken inkomen;Personen met 52 weken inkomen;Personen met 52 weken inkomen;Uitkeringsontvangers, totaal;Uitkeringsontvangers, totaal;Uitkeringsontvangers, totaal;Motorvoertuigen;Motorvoertuigen;Afval van huishoudens;Afval van huishoudens;Afval van huishoudens;Afval van huishoudens
;Onderwerpen;Totale bevolking;Geslacht;Geslacht;Leeftijd;Leeftijd;Leeftijd;Leeftijd;Leeftijd;Leeftijd;Leeftijd;Leeftijd;Leeftijd;Migratieachtergrond;Migratieachtergrond;Migratieachtergrond;Migratieachtergrond;Migratieachtergrond;Migratieachtergrond;Migratieachtergrond;Migratieachtergrond;Migratieachtergrond;Geboorte en sterfte;Geboorte en sterfte;Leerlingen;Leerlingen;Leerlingen;Leerlingen/studenten;Leerlingen/studenten;Leerlingen/studenten;Leerlingen/studenten;Leerlingen/studenten;Gediplomeerden;Gediplomeerden;Gediplomeerden;Gediplomeerden;A Landbouw, bosbouw en visserij;B-F Nijverheid en energie;G-N Commerciële dienstverlening;O-U Niet-commerciële dienstverlening;Totaal personen;Geslacht;Geslacht;Uitkeringsontvangers, totaal;Tot de AOW- leeftijd;Vanaf de AOW- leeftijd;Personenauto's, relatief;Voertuigen met bromfietskenteken (%);Totaal huishoudelijk afval;Huishoudelijk restafval;Grof huishoudelijk restafval;Gft-afval
;Onderwerpen;Totale bevolking;Mannen;Vrouwen;Leeftijdsgroepen, relatief;Leeftijdsgroepen, relatief;Leeftijdsgroepen, relatief;Leeftijdsgroepen, relatief;Leeftijdsgroepen, relatief;Leeftijdsgroepen, relatief;Leeftijdsgroepen, relatief;Leeftijdsgroepen, relatief;Leeftijdsgroepen, relatief;Migratieachtergrond, relatief;Migratieachtergrond, relatief;Migratieachtergrond, relatief;Migratieachtergrond, relatief;Migratieachtergrond, relatief;Migratieachtergrond, relatief;Migratieachtergrond, relatief;Migratieachtergrond, relatief;Migratieachtergrond, relatief;Geboorte, relatief;Sterfte, relatief;Basisonderwijs;Speciaal basisonderwijs;Speciale scholen;Voortgezet onderwijs;Beroepsopleidende leerweg;Beroepsbegeleidende leerweg;Hoger beroepsonderwijs;Wetenschappelijk onderwijs;Voortgezet onderwijs;Middelbaar beroepsonderwijs;Hoger beroepsonderwijs bachelor;Wo master/doctoraal;A Landbouw, bosbouw en visserij;B-F Nijverheid en energie;G-N Commerciële dienstverlening;O-U Niet-commerciële dienstverlening;Totaal personen;Mannen;Vrouwen;Uitkeringsontvangers, totaal;Tot de AOW- leeftijd;Vanaf de AOW- leeftijd;Personenauto's, relatief;Voertuigen met bromfietskenteken (%);Totaal huishoudelijk afval;Huishoudelijk restafval;Grof huishoudelijk restafval;Gft-afval
;Onderwerpen;Totale bevolking;Mannen;Vrouwen;Jonger dan 5 jaar;5 tot 10 jaar;10 tot 15 jaar;15 tot 20 jaar;20 tot 25 jaar;25 tot 45 jaar;45 tot 65 jaar;65 tot 80 jaar;80 jaar of ouder;Nederlandse achtergrond;Met migratieachtergrond;Met migratieachtergrond;Met migratieachtergrond;Met migratieachtergrond;Met migratieachtergrond;Met migratieachtergrond;Met migratieachtergrond;Met migratieachtergrond;Geboorte, relatief;Sterfte, relatief;Basisonderwijs;Speciaal basisonderwijs;Speciale scholen;Voortgezet onderwijs;Beroepsopleidende leerweg;Beroepsbegeleidende leerweg;Hoger beroepsonderwijs;Wetenschappelijk onderwijs;Voortgezet onderwijs;Middelbaar beroepsonderwijs;Hoger beroepsonderwijs bachelor;Wo master/doctoraal;A Landbouw, bosbouw en visserij;B-F Nijverheid en energie;G-N Commerciële dienstverlening;O-U Niet-commerciële dienstverlening;Totaal personen;Mannen;Vrouwen;Uitkeringsontvangers, totaal;Tot de AOW- leeftijd;Vanaf de AOW- leeftijd;Personenauto's, relatief;Voertuigen met bromfietskenteken (%);Totaal huishoudelijk afval;Huishoudelijk restafval;Grof huishoudelijk restafval;Gft-afval
;Onderwerpen;Totale bevolking;Mannen;Vrouwen;Jonger dan 5 jaar;5 tot 10 jaar;10 tot 15 jaar;15 tot 20 jaar;20 tot 25 jaar;25 tot 45 jaar;45 tot 65 jaar;65 tot 80 jaar;80 jaar of ouder;Nederlandse achtergrond;Totaal met migratieachtergrond;Westerse migratieachtergrond;Niet-westerse migratieachtergrond;Niet-westerse migratieachtergrond;Niet-westerse migratieachtergrond;Niet-westerse migratieachtergrond;Niet-westerse migratieachtergrond;Niet-westerse migratieachtergrond;Geboorte, relatief;Sterfte, relatief;Basisonderwijs;Speciaal basisonderwijs;Speciale scholen;Voortgezet onderwijs;Beroepsopleidende leerweg;Beroepsbegeleidende leerweg;Hoger beroepsonderwijs;Wetenschappelijk onderwijs;Voortgezet onderwijs;Middelbaar beroepsonderwijs;Hoger beroepsonderwijs bachelor;Wo master/doctoraal;A Landbouw, bosbouw en visserij;B-F Nijverheid en energie;G-N Commerciële dienstverlening;O-U Niet-commerciële dienstverlening;Totaal personen;Mannen;Vrouwen;Uitkeringsontvangers, totaal;Tot de AOW- leeftijd;Vanaf de AOW- leeftijd;Personenauto's, relatief;Voertuigen met bromfietskenteken (%);Totaal huishoudelijk afval;Huishoudelijk restafval;Grof huishoudelijk restafval;Gft-afval
;Onderwerpen;Totale bevolking;Mannen;Vrouwen;Jonger dan 5 jaar;5 tot 10 jaar;10 tot 15 jaar;15 tot 20 jaar;20 tot 25 jaar;25 tot 45 jaar;45 tot 65 jaar;65 tot 80 jaar;80 jaar of ouder;Nederlandse achtergrond;Totaal met migratieachtergrond;Westerse migratieachtergrond;Totaal niet-westerse migratieachtergrond;Marokko;(voormalige) Nederlandse Antillen, Aruba;Suriname;Turkije;Overig niet-westerse migratieachtergrond;Geboorte, relatief;Sterfte, relatief;Basisonderwijs;Speciaal basisonderwijs;Speciale scholen;Voortgezet onderwijs;Beroepsopleidende leerweg;Beroepsbegeleidende leerweg;Hoger beroepsonderwijs;Wetenschappelijk onderwijs;Voortgezet onderwijs;Middelbaar beroepsonderwijs;Hoger beroepsonderwijs bachelor;Wo master/doctoraal;A Landbouw, bosbouw en visserij;B-F Nijverheid en energie;G-N Commerciële dienstverlening;O-U Niet-commerciële dienstverlening;Totaal personen;Mannen;Vrouwen;Uitkeringsontvangers, totaal;Tot de AOW- leeftijd;Vanaf de AOW- leeftijd;Personenauto's, relatief;Voertuigen met bromfietskenteken (%);Totaal huishoudelijk afval;Huishoudelijk restafval;Grof huishoudelijk restafval;Gft-afval
;Perioden;aantal;aantal;aantal;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;per 1 000 inwoners;per 1 000 inwoners;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;%;%;%;%;1 000 euro;1 000 euro;1 000 euro;aantal;aantal;aantal;per 1 000 inwoners;per 1 000 inwoners;1 000 kg;1 000 kg;1 000 kg;1 000 kg
Nederland;2006;16334210;8077407;8256803;6;6.1;6.1;6.1;5.9;29;26.5;10.7;3.6;80.7;19.3;8.7;10.5;2;0.8;2;2.2;3.5;11.3;8.3;1548969;46310;61920;915245;355408;140819;366689;208618;171358;148753;60036;30731; ; ; ; ;26.6;33.7;18.6; ; ; ;434; ;9166000;3961000;716000;1296000
Nederland;2007;16357992;8088514;8269478;5.9;6.1;6;6.1;5.9;28.5;26.9;10.8;3.7;80.6;19.4;8.8;10.6;2;0.8;2;2.3;3.5;11.1;8.1;1552548;44932;64658;941136;349619;160023;374802;212713;173150;156116;60057;28361; ; ; ; ;27.4;34.8;19.2;1354050;1303410;39600;442;44;9301000;3964000;683000;1315000
Nederland;2008;16405399;8112073;8293326;5.8;6.2;6;6.1;6;28;27.3;11;3.8;80.4;19.6;8.8;10.8;2;0.8;2;2.3;3.6;11.2;8.2;1553332;44055;66264;934560;342394;171531;383713;220504;171217;161752;61703;28773;1;16;51;32;28.6;36.4;20.1;1321200;1267850;42730;451;48;9211000;3947000;686000;1289000
Nederland;2009;16485787;8156396;8329391;5.7;6.1;5.9;6.1;6;27.5;27.6;11.2;3.8;80.1;19.9;9;11;2.1;0.8;2.1;2.3;3.7;11.2;8.1;1548419;43325;67653;934943;351392;170882;403278;233128;168389;200375;62204;30262;1;16;50;33;29.6;37.6;21;1456400;1399750;45330;458;53;9059000;3878000;640000;1302000
Nederland;2010;16574989;8203476;8371513;5.6;6.1;5.9;6.1;6.1;27;27.9;11.4;3.9;79.7;20.3;9.1;11.2;2.1;0.8;2.1;2.3;3.9;11.1;8.2;1534929;42821;68863;939534;357758;170251;416629;242345;166647;175553;61633;33178;1;15;49;34;30.1;37.9;21.7;1482350;1426730;45580;460;58;8860000;3751000;615000;1255000
Nederland;2011;16655799;8243482;8412317;5.5;5.9;6;6;6.2;26.6;28.1;11.6;4;79.4;20.6;9.2;11.4;2.1;0.8;2.1;2.3;4;10.8;8.1;1517497;41768;70154;948673;357687;162275;423945;245428;165473;179189;65089;37735;1;15;50;34;30.4;38.2;22.1;1498070;1439870;48300;464;62;8915000;3734000;600000;1297000
Nederland;2012;16730348;8282871;8447477;5.5;5.8;6;6;6.3;26.2;28;12.1;4.1;79.1;20.9;9.3;11.6;2.2;0.9;2.1;2.3;4.1;10.5;8.4;1498008;39926;70416;960682;360202;150655;421693;241372;169302;182430;59563;33180;1;15;50;34;30.9;38.7;22.6;1577460;1519880;47550;470;63;8656000;3663000;536000;1303000
Nederland;2013;16779575;8307339;8472236;5.4;5.7;6.1;5.9;6.3;25.8;28;12.6;4.2;78.9;21.1;9.4;11.7;2.2;0.9;2.1;2.4;4.2;10.2;8.4;1476722;38133;71230;973514;370595;127513;440293;250186;172708;178176;60913;34589;1;15;50;34;31.2;39;22.9;4834190;1611650;3222150;472;65;8299000;3523000;473000;1252000
Nederland;2014;16829289;8334385;8494904;5.3;5.6;6;5.9;6.3;25.5;28;13.1;4.3;78.6;21.4;9.5;11.9;2.2;0.9;2.1;2.4;4.3;10.4;8.3;1457550;36845;70980;985069;378021;103384;446434;255661;178907;167790;64104;36573;1;14;51;33;31.7;39.6;23.4;4935170;1632040;3302920;471;65;8385000;3469000;465000;1346000
Nederland;2015;16900726;8372858;8527868;5.3;5.5;6;5.9;6.3;25.1;28.1;13.4;4.3;78.3;21.7;9.6;12.1;2.3;0.9;2.1;2.3;4.5;10.1;8.7;1443126;34727;68196;995336;378491;97784;442594;261169;183512;154373;65446;37206;1;14;52;33;32.3;40.3;23.9;4995390;1622470;3372840;472;67;8372000;3381000;454000;1346000
Groningen (PV);2006;574042;285089;288953;5.5;5.6;5.6;6.2;7.8;28.4;26.3;10.7;4.1;87.7;12.3;6.8;5.5;0.3;0.8;1.1;0.8;2.6;10.2;9.2;49881;1423;2477;28887;14454;4803;18007;18831;5162;5497;2924;2611; ; ; ; ;23.9;29.4;17.6; ; ; ;409; ;342000;142000;23000;52000
Groningen (PV);2007;573614;284791;288823;5.3;5.6;5.5;6.3;7.9;27.9;26.7;10.8;4.1;87.7;12.3;6.8;5.4;0.3;0.8;1.1;0.8;2.6;9.9;8.8;49863;1426;2467;30362;14005;5496;18443;19066;5376;5785;3004;2053; ; ; ; ;24.5;30.2;18.1;56220;55490;720;416;41;344000;141000;23000;51000
Groningen (PV);2008;573459;284678;288781;5.1;5.6;5.5;6.3;8;27.3;27;11;4.2;87.6;12.4;6.8;5.5;0.3;0.8;1.1;0.8;2.6;10.3;9.2;49683;1368;2414;29952;13625;6180;19270;19907;5167;6023;3108;1996;1;17;44;38;25.5;31.4;18.9;54960;54170;790;424;44;331000;137000;23000;49000
Groningen (PV);2009;574092;284981;289111;5;5.5;5.5;6.3;8.2;26.7;27.3;11.2;4.2;87.4;12.6;7;5.6;0.3;0.8;1.1;0.8;2.7;10.3;9.1;49030;1365;2418;29981;14150;5772;20085;21223;5280;7670;3256;1994;1;17;43;40;26.6;32.7;19.8;59610;58800;820;431;48;326000;134000;22000;49000
Groningen (PV);2010;576668;286495;290173;5;5.4;5.5;6.3;8.4;26.2;27.5;11.5;4.2;87.1;12.9;7.1;5.8;0.3;0.8;1.1;0.8;2.8;9.9;9.2;48156;1394;2381;30114;14295;5665;20517;21739;5165;6459;3180;2118;1;17;42;41;27.1;33.1;20.6;60540;59750;790;436;52;319000;132000;20000;47000
Groningen (PV);2011;579036;287924;291112;5;5.3;5.5;6.3;8.6;25.8;27.6;11.7;4.3;86.8;13.2;7.2;6;0.3;0.9;1.1;0.8;2.9;10.1;9.1;47267;1375;2341;30147;14358;5151;20764;22024;5113;6346;3337;2321;1;16;42;41;27.5;33.4;21;61110;60290;830;440;55;323000;130000;21000;53000
Groningen (PV);2012;580875;288754;292121;4.9;5.1;5.5;6.2;8.8;25.5;27.4;12.3;4.3;86.5;13.5;7.4;6.1;0.3;0.9;1.1;0.8;3;9.6;9.4;46311;1369;2331;30338;14751;4652;20988;21983;5140;6332;2998;2154;1;17;42;41;27.9;33.9;21.4;64030;63210;820;445;56;315000;131000;18000;53000
Groningen (PV);2013;581705;289275;292430;4.9;5;5.5;6.2;8.8;25.2;27.2;12.8;4.3;86.3;13.7;7.6;6.2;0.3;0.9;1.1;0.8;3.1;9.1;9.3;45484;1363;2297;30823;15057;4190;21892;21811;5243;6478;3052;2149;1;16;42;42;28.1;34;21.7;166880;64960;101910;446;57;298000;123000;16000;48000
Groningen (PV);2014;582728;289820;292908;4.8;4.9;5.5;6.3;8.9;24.8;27.1;13.2;4.4;86;14;7.7;6.4;0.3;0.9;1.1;0.8;3.3;9.3;9.1;44837;1352;2252;31147;15254;3396;22247;22128;5543;6368;3183;2183;1;15;42;42;28.6;34.6;22.2;170260;66280;103980;444;57;290000;121000;14000;50000
Groningen (PV);2015;583942;290840;293102;4.7;4.9;5.4;6.3;9;24.5;27.2;13.6;4.5;85.7;14.3;7.7;6.7;0.3;0.9;1.1;0.8;3.6;9.1;9.4;44219;1246;2165;31474;15495;3293;22347;21226;5660;5886;3211;2132;1;14;45;40;29.1;35;22.7;171360;65820;105540;445;58;287000;114000;15000;50000
Friesland (PV);2006;642230;320611;321619;6.1;6.3;6.3;6.3;5.8;27.2;26.8;11.2;3.9;91.8;8.2;4.7;3.5;0.3;0.3;0.4;0.2;2.1;11.3;9.2;62815;2050;2377;36770;18764;4763;16511;1862;7094;6957;2523;282; ; ; ; ;23.5;29.6;16.5; ; ; ;417; ;415000;139000;25000;72000
Friesland (PV);2007;642209;320383;321826;6;6.4;6.3;6.3;5.8;26.7;27.3;11.4;4;91.9;8.1;4.7;3.4;0.3;0.3;0.4;0.3;2.1;11;8.5;63309;2008;2422;37975;17922;5463;16779;1974;7247;7190;2529;217; ; ; ; ;24.3;30.7;17;51150;50550;600;428;41;432000;144000;26000;75000
Friesland (PV);2008;643189;321102;322087;5.8;6.4;6.2;6.2;5.7;26.3;27.6;11.6;4;91.8;8.2;4.7;3.5;0.3;0.3;0.5;0.3;2.1;10.9;8.7;63290;2030;2408;37929;17412;6021;17244;2107;7007;7352;2430;225;1;19;44;36;25.2;31.9;17.6;49750;49150;600;438;44;423000;143000;23000;74000
